Panel_ID,Site,Age,Site_Age,Algae_brown,Algae_coralline,Algae_green,Algae_turf,Algae_red,Bryozoa_encrust,Bryozoa_arborescent,Bryozoa_ctenosome,Amphipod_tubes,Anemones,Hydroids,Barnacles,Ascidian_solitary,Ascidian_colonial,Mussels,Oysters,Crepidula,Bivalves_other,Polychaetes_sabellids,Polychaetes_serpulids,Polychaetes_other,Sponges,Forams,Open_space,Sediment
2021_CAN-BCQ_30d_01,CAN-BCQ,30d,CAN-BCQ_30d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2021_CAN-BCQ_30d_02,CAN-BCQ,30d,CAN-BCQ_30d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2021_CAN-BCQ_30d_03,CAN-BCQ,30d,CAN-BCQ_30d,0,0,0,0,0,10,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,86,0
2021_CAN-BCQ_30d_04,CAN-BCQ,30d,CAN-BCQ_30d,0,0,0,0,0,1,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,86,0
2021_CAN-BCQ_30d_05,CAN-BCQ,30d,CAN-BCQ_30d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2021_CAN-BCQ_30d_06,CAN-BCQ,30d,CAN-BCQ_30d,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,95,0
2021_CAN-BCQ_60d_07,CAN-BCQ,60d,CAN-BCQ_60d,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,93,0
2021_CAN-BCQ_60d_08,CAN-BCQ,60d,CAN-BCQ_60d,0,0,0,0,0,2,0,0,0,0,4,1,0,19,0,0,0,0,0,0,0,0,0,74,0
2021_CAN-BCQ_60d_09,CAN-BCQ,60d,CAN-BCQ_60d,0,0,0,0,0,3,0,0,0,0,6,0,0,26,0,0,0,0,0,0,0,0,0,65,0
2021_CAN-BCQ_60d_10,CAN-BCQ,60d,CAN-BCQ_60d,0,0,0,0,0,14,0,0,0,0,9,11,0,23,0,0,0,0,0,1,0,0,0,42,0
2021_CAN-BCQ_60d_11,CAN-BCQ,60d,CAN-BCQ_60d,0,0,0,0,0,9,0,0,0,0,4,21,0,26,0,0,0,0,0,0,0,0,1,39,0
2021_CAN-BCQ_60d_12,CAN-BCQ,60d,CAN-BCQ_60d,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,92,0
2021_CAN-BCQ_90d_13,CAN-BCQ,90d,CAN-BCQ_90d,0,0,0,0,0,9,0,0,0,0,5,0,0,76,0,0,0,0,0,0,0,0,0,10,0
2021_CAN-BCQ_90d_14,CAN-BCQ,90d,CAN-BCQ_90d,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,1,0
2021_CAN-BCQ_90d_15,CAN-BCQ,90d,CAN-BCQ_90d,0,0,1,0,0,4,0,0,0,0,1,0,0,90,0,0,0,0,0,1,0,0,0,3,0
2021_CAN-BCQ_90d_16,CAN-BCQ,90d,CAN-BCQ_90d,0,0,0,0,0,18,0,0,0,0,1,4,0,77,0,0,0,0,0,0,0,0,0,0,0
2021_CAN-BCQ_90d_17,CAN-BCQ,90d,CAN-BCQ_90d,0,0,0,0,0,15,1,0,0,1,1,0,0,63,0,0,0,0,0,0,0,0,0,19,0
2021_CAN-BCQ_90d_18,CAN-BCQ,90d,CAN-BCQ_90d,0,0,0,0,0,41,0,0,0,0,3,0,2,44,0,0,0,0,0,1,0,0,0,9,0
2021_PAN-BDT_30d_01,PAN-BDT,30d,PAN-BDT_30d,0,0,0,0,0,0,0,0,0,0,4,2,9,15,0,1,0,2,0,11,0,3,0,53,0
2021_PAN-BDT_30d_02,PAN-BDT,30d,PAN-BDT_30d,0,0,0,0,0,3,0,0,0,0,4,0,11,8,0,1,0,0,0,3,0,1,0,69,0
2021_PAN-BDT_30d_03,PAN-BDT,30d,PAN-BDT_30d,0,0,0,3,0,1,0,0,0,0,2,0,3,7,0,0,0,0,0,4,0,3,0,77,0
2021_PAN-BDT_30d_04,PAN-BDT,30d,PAN-BDT_30d,0,1,0,6,0,1,0,0,0,0,9,0,16,5,0,1,0,0,0,5,0,2,0,54,0
2021_PAN-BDT_30d_05,PAN-BDT,30d,PAN-BDT_30d,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,0,0,0,5,0,1,0,52,0
